P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Mass (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Max (K),P. Mag,P. Appar Size (deg),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Teff (K),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Confirmed
Warm,Terran,rocky-iron,metals-rich,mesoplanet,1.27,0.9,1.01,1.06,1.298292,1.377937,1.46383,280.2,-17.77,2.13,0.03,0.17,0.0,0.54,3748.0,0.16,4.4,9.6,145.0,18.7764,41.9511,-27.1,1.4871,1,1,0.40700000000000003,-0.94,-0.17,-0.49,0.48,0.88,0,1
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,7.75,1.2,2.24,2.04,0.7514458,1.43441,3.096766,338.0,-18.99,3.54,0.34,0.23,0.0,0.57,4134.0,-0.3,1.3,8.3,261.0,19.0233,41.4522,-27.2,1.2857,1,1,0.5710000000000001,-0.89,-0.14,0.62,0.48,0.75,0,1
Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,19.53,1.54,3.6,2.9,0.7188641,0.8910313,1.118071,262.0,-18.9,4.43,0.11,0.49,0.0,0.74,4723.0,-0.01,3.2,6.8,779.0,19.2407,49.9686,-26.6,0.7552,1,1,0.903,-0.53,-0.12,1.83,0.34,0.71,0,1
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,4.72,1.09,1.77,1.7,1.109832,1.109832,1.109833,261.5,-18.35,3.1,0.0,1.05,0.0,1.04,5757.0,0.21,6.0,13.4,430.0,19.7336,44.2776,-26.8,0.5655,1,1,1.952,-0.61,-0.15,0.3,0.59,0.83,0,1
Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,12.69,1.36,2.86,2.46,0.832599,0.8325992,0.8325992,243.4,-18.6,4.0,0.0,0.23,0.0,0.53,3722.0,-0.11655,3.89,15.8,251.0,19.3006,41.8121,-26.5,1.1719,1,1,0.44299999999999995,-0.56,-0.13,1.31,0.41,0.74,0,1
Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,16.81,1.47,3.32,2.73,1.20485,1.20485,1.204851,266.9,-19.15,4.28,0.0,0.63,0.0,0.86,5321.0,-0.11655,4.37,15.0,702.0,19.7109,44.5258,-26.9,0.6898,1,1,1.28,-0.74,-0.12,1.5,0.37,0.72,0,1
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,6.56,1.16,2.07,1.92,1.344376,1.344376,1.344376,274.3,-18.76,3.38,0.0,0.26,0.0,0.63,4092.0,-0.11655,4.07,15.8,367.0,19.3673,38.7435,-27.1,1.232,1,1,0.614,-0.91,-0.14,0.51,0.49,0.78,0,1
Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,26.25,1.71,4.25,3.25,0.9229547,0.9229549,0.9229552,249.7,-19.07,4.73,0.0,0.44,0.0,0.74,4540.0,-0.11655,2.51,14.1,262.0,18.8896,41.2017,-26.6,0.8293,1,1,0.8390000000000001,-0.59,-0.11,2.25,0.3,0.7,0,1
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,6.56,1.16,2.07,1.92,0.9021728,0.9021729,0.902173,248.3,-18.32,3.38,0.0,0.56,0.0,0.81,4886.0,-0.11655,2.34,14.1,349.0,19.819000000000006,49.2125,-26.6,0.7079,1,1,1.012,-0.53,-0.14,0.63,0.55,0.8,0,1
Warm,Superterran,rocky-iron,hydrogen-rich,mesoplanet,25.16,1.68,4.14,3.2,1.105641,1.105641,1.105641,261.2,-19.25,4.68,0.0,0.6,0.0,0.85,5202.0,-0.11655,3.31,14.8,618.0,19.4451,38.8749,-26.8,0.6913,1,1,1.176,-0.68,-0.11,2.09,0.31,0.7,0,1
Warm,Superterran,rocky-iron,metals-rich,mesoplanet,7.92,1.21,2.26,2.06,1.38738,1.38738,1.387381,276.5,-18.9,3.56,0.0,0.79,0.0,0.97,5710.0,-0.11655,4.37,14.8,879.0,19.6988,48.5244,-27.1,0.6427,1,1,1.65,-0.81,-0.14,0.66,0.49,0.76,0,1
Warm,Terran,rocky-iron,metals-rich,mesoplanet,1.4,0.91,1.05,1.1,1.176261,1.474785,1.874486,298.1,-17.92,2.19,0.12,0.05,0.0,0.17,3192.0,-0.02,5.0,11.2,3.38,11.7957,0.8046,-27.2,2.1279,1,1,0.13,-0.99,-0.17,-0.46,0.48,0.86,0,1
Warm,Terran,rocky-iron,metals-rich,mesoplanet,4.29,1.07,1.7,1.64,1.369828,1.512054,1.673311,289.8,-18.64,3.02,0.05,0.55,313.5,0.78,5344.0,-0.55,5.8,3.5,3.65,1.7344,-15.9375,-27.2,0.7665,7,1,1.246,-0.92,-0.15,0.16,0.51,0.78,0,0
Warm,Subterran,rocky-iron,metals-rich,mesoplanet,0.41,0.9,0.69,0.73,1.129725,1.129725,1.129725,262.7,-16.74,1.47,0.0,0.02,0.0,0.08,2550.0,0.04,0.5,18.8,12.1,23.1081,-5.0414,-26.9,2.9085,7,4,0.051,-0.84,-0.29,-0.86,0.45,0.9,0,1
Warm,Terran,rocky-iron,metals-rich,mesoplanet,3.4,1.03,1.53,1.51,1.128213,1.398419,1.754743,293.2,-18.42,2.83,0.11,0.09,37.0,0.25,3305.0,-0.09,3.9557894736842094,10.1,4.29,16.505,-12.6626,-27.1,1.9321,3,1,0.225,-0.96,-0.15,0.02,0.51,0.82,0,1
